year,tau,method,fit_scope,domain,metric,value,n_test,n_quarters
2022,24h,raw,per_domain,Finance,brier,0.13608674999999998,800.0,2.0
2022,24h,raw,per_domain,Finance,ece,0.03759999999999999,800.0,2.0
2022,24h,raw,per_domain,Finance,log_loss,0.4382421849235241,800.0,2.0
2022,24h,raw,per_domain,Weather,brier,0.17584039548022598,2124.0,3.0
2022,24h,raw,per_domain,Weather,ece,0.040018832391713714,2124.0,3.0
2022,24h,raw,per_domain,Weather,log_loss,0.5269221393604923,2124.0,3.0
2022,24h,raw,pooled,ALL,brier,0.16275285039370077,3175.0,3.0
2022,24h,raw,pooled,ALL,ece,0.032185826771653527,3175.0,3.0
2022,24h,raw,pooled,ALL,log_loss,0.49759675675156034,3175.0,3.0
2022,24h,raw,pooled,Entertainment,brier,0.1868333333333333,9.0,1.0
2022,24h,raw,pooled,Entertainment,log_loss,0.5435726818124127,9.0,1.0
2022,24h,raw,pooled,Finance,brier,0.13602317307692305,1040.0,3.0
2022,24h,raw,pooled,Finance,ece,0.03920192307692305,1040.0,3.0
2022,24h,raw,pooled,Finance,log_loss,0.4377673854347264,1040.0,3.0
2022,24h,raw,pooled,Politics,brier,0.054849999999999996,2.0,2.0
2022,24h,raw,pooled,Politics,log_loss,0.25842184804577684,2.0,2.0
2022,24h,raw,pooled,Weather,brier,0.17584039548022598,2124.0,3.0
2022,24h,raw,pooled,Weather,ece,0.040018832391713714,2124.0,3.0
2022,24h,raw,pooled,Weather,log_loss,0.5269221393604923,2124.0,3.0
2022,24h,venn_abers,per_domain,ALL,brier,0.1674074003150821,2924.0,3.0
2022,24h,venn_abers,per_domain,ALL,ece,0.05158073110422158,2924.0,3.0
2022,24h,venn_abers,per_domain,ALL,log_loss,0.5086107457089094,2924.0,3.0
2022,24h,venn_abers,per_domain,Finance,brier,0.13669687818570972,800.0,2.0
2022,24h,venn_abers,per_domain,Finance,ece,0.03420368146295246,800.0,2.0
2022,24h,venn_abers,per_domain,Finance,log_loss,0.4395163205315623,800.0,2.0
2022,24h,venn_abers,per_domain,Weather,brier,0.17897445196456324,2124.0,3.0
2022,24h,venn_abers,per_domain,Weather,ece,0.0572331634359593,2124.0,3.0
2022,24h,venn_abers,per_domain,Weather,log_loss,0.53463501131243,2124.0,3.0
2022,24h,venn_abers,pooled,ALL,brier,0.16516068635977488,3175.0,3.0
2022,24h,venn_abers,pooled,ALL,ece,0.04817134693074486,3175.0,3.0
2022,24h,venn_abers,pooled,ALL,log_loss,0.5046983606796556,3175.0,3.0
2022,24h,venn_abers,pooled,Entertainment,brier,0.1928982981102154,9.0,1.0
2022,24h,venn_abers,pooled,Entertainment,log_loss,0.5421626372174013,9.0,1.0
2022,24h,venn_abers,pooled,Finance,brier,0.13911422163213322,1040.0,3.0
2022,24h,venn_abers,pooled,Finance,ece,0.056701796398786614,1040.0,3.0
2022,24h,venn_abers,pooled,Finance,log_loss,0.4507919620146954,1040.0,3.0
2022,24h,venn_abers,pooled,Politics,brier,0.0707962625888764,2.0,2.0
2022,24h,venn_abers,pooled,Politics,log_loss,0.3042127468618089,2.0,2.0
2022,24h,venn_abers,pooled,Weather,brier,0.1778854573854505,2124.0,3.0
2022,24h,venn_abers,pooled,Weather,ece,0.05119506795279734,2124.0,3.0
2022,24h,venn_abers,pooled,Weather,log_loss,0.5311232417297284,2124.0,3.0
2023,24h,binning10,per_domain,ALL,brier,0.1689186979080718,5011.0,4.0
2023,24h,binning10,per_domain,ALL,ece,0.03753823009536644,5011.0,4.0
2023,24h,binning10,per_domain,ALL,log_loss,0.5142557402386003,5011.0,4.0
2023,24h,binning10,per_domain,Finance,brier,0.14693360747620318,1587.0,4.0
2023,24h,binning10,per_domain,Finance,ece,0.0590098569869518,1587.0,4.0
2023,24h,binning10,per_domain,Finance,log_loss,0.46612405505293536,1587.0,4.0
2023,24h,binning10,per_domain,Weather,brier,0.17910863322214177,3424.0,4.0
2023,24h,binning10,per_domain,Weather,ece,0.03618617876896081,3424.0,4.0
2023,24h,binning10,per_domain,Weather,log_loss,0.536564438950531,3424.0,4.0
2023,24h,binning10,pooled,ALL,brier,0.1705431129026437,5079.0,4.0
2023,24h,binning10,pooled,ALL,ece,0.038280974720614556,5079.0,4.0
2023,24h,binning10,pooled,ALL,log_loss,0.5180418407668126,5079.0,4.0
2023,24h,binning10,pooled,Entertainment,brier,0.10160329742137698,57.0,4.0
2023,24h,binning10,pooled,Entertainment,ece,0.19169081623080267,47.0,2.0
2023,24h,binning10,pooled,Entertainment,log_loss,0.34473747865808524,57.0,4.0
2023,24h,binning10,pooled,Finance,brier,0.1481813375222365,1587.0,4.0
2023,24h,binning10,pooled,Finance,ece,0.056757476356970614,1587.0,4.0
2023,24h,binning10,pooled,Finance,log_loss,0.4711583273850559,1587.0,4.0
2023,24h,binning10,pooled,Politics,brier,0.1739940758493704,11.0,3.0
2023,24h,binning10,pooled,Politics,log_loss,0.5101929539933603,11.0,3.0
2023,24h,binning10,pooled,Weather,brier,0.18204420706699084,3424.0,4.0
2023,24h,binning10,pooled,Weather,ece,0.04240201044609127,3424.0,4.0
2023,24h,binning10,pooled,Weather,log_loss,0.5426822677912149,3424.0,4.0
2023,24h,conformal_marginal,pooled,ALL,avg_set_size,1.352234691868478,5079.0,4.0
2023,24h,conformal_marginal,pooled,ALL,coverage,0.8964363063595195,5079.0,4.0
2023,24h,conformal_marginal,pooled,Entertainment,avg_set_size,1.2982456140350878,57.0,4.0
2023,24h,conformal_marginal,pooled,Entertainment,coverage,0.9649122807017544,57.0,4.0
2023,24h,conformal_marginal,pooled,Finance,avg_set_size,1.15059861373661,1587.0,4.0
2023,24h,conformal_marginal,pooled,Finance,coverage,0.8657844990548205,1587.0,4.0
2023,24h,conformal_marginal,pooled,Politics,avg_set_size,1.0909090909090908,11.0,3.0
2023,24h,conformal_marginal,pooled,Politics,coverage,0.8181818181818182,11.0,3.0
2023,24h,conformal_marginal,pooled,Weather,avg_set_size,1.4474299065420562,3424.0,4.0
2023,24h,conformal_marginal,pooled,Weather,coverage,0.9097546728971962,3424.0,4.0
2023,24h,conformal_mondrian,per_domain,ALL,avg_set_size,1.3679858239810987,5079.0,4.0
2023,24h,conformal_mondrian,per_domain,ALL,coverage,0.8995865327820437,5079.0,4.0
2023,24h,conformal_mondrian,per_domain,Entertainment,avg_set_size,1.1929824561403508,57.0,4.0
2023,24h,conformal_mondrian,per_domain,Entertainment,coverage,0.9649122807017544,57.0,4.0
2023,24h,conformal_mondrian,per_domain,Finance,avg_set_size,1.287334593572779,1587.0,4.0
2023,24h,conformal_mondrian,per_domain,Finance,coverage,0.9023314429741651,1587.0,4.0
2023,24h,conformal_mondrian,per_domain,Politics,avg_set_size,1.0909090909090908,11.0,3.0
2023,24h,conformal_mondrian,per_domain,Politics,coverage,0.8181818181818182,11.0,3.0
2023,24h,conformal_mondrian,per_domain,Weather,avg_set_size,1.4091705607476634,3424.0,4.0
2023,24h,conformal_mondrian,per_domain,Weather,coverage,0.8974883177570093,3424.0,4.0
2023,24h,platt,per_domain,ALL,brier,0.16751498108750285,5011.0,4.0
2023,24h,platt,per_domain,ALL,ece,0.03541063199427084,5011.0,4.0
2023,24h,platt,per_domain,ALL,log_loss,0.5102540538311787,5011.0,4.0
2023,24h,platt,per_domain,Finance,brier,0.14481847933525335,1587.0,4.0
2023,24h,platt,per_domain,Finance,ece,0.059498876747312184,1587.0,4.0
2023,24h,platt,per_domain,Finance,log_loss,0.45823567225284656,1587.0,4.0
2023,24h,platt,per_domain,Weather,brier,0.1780346505620414,3424.0,4.0
2023,24h,platt,per_domain,Weather,ece,0.041907396204157794,3424.0,4.0
2023,24h,platt,per_domain,Weather,log_loss,0.5343642090779114,3424.0,4.0
2023,24h,platt,pooled,ALL,brier,0.16645217963227094,5079.0,4.0
2023,24h,platt,pooled,ALL,ece,0.037123853150197235,5079.0,4.0
2023,24h,platt,pooled,ALL,log_loss,0.5073477843028072,5079.0,4.0
2023,24h,platt,pooled,Entertainment,brier,0.08888989026092285,57.0,4.0
2023,24h,platt,pooled,Entertainment,ece,0.18219715851084772,47.0,2.0
2023,24h,platt,pooled,Entertainment,log_loss,0.31011835457682435,57.0,4.0
2023,24h,platt,pooled,Finance,brier,0.1441407402347314,1587.0,4.0
2023,24h,platt,pooled,Finance,ece,0.05851315832937121,1587.0,4.0
2023,24h,platt,pooled,Finance,log_loss,0.45641003824106985,1587.0,4.0
2023,24h,platt,pooled,Politics,brier,0.15967710575235855,11.0,3.0
2023,24h,platt,pooled,Politics,log_loss,0.4678135857024804,11.0,3.0
2023,24h,platt,pooled,Weather,brier,0.1781063357744266,3424.0,4.0
2023,24h,platt,pooled,Weather,ece,0.04332041106887008,3424.0,4.0
2023,24h,platt,pooled,Weather,log_loss,0.5343673978188592,3424.0,4.0
2023,24h,raw,per_domain,ALL,brier,0.16710253442426662,5011.0,4.0
2023,24h,raw,per_domain,ALL,ece,0.03301137497505482,5011.0,4.0
2023,24h,raw,per_domain,ALL,log_loss,0.5091253616775268,5011.0,4.0
2023,24h,raw,per_domain,Finance,brier,0.14369023314429738,1587.0,4.0
2023,24h,raw,per_domain,Finance,ece,0.05710144927536226,1587.0,4.0
2023,24h,raw,per_domain,Finance,log_loss,0.4554555374446578,1587.0,4.0
2023,24h,raw,per_domain,Weather,brier,0.17795397196261678,3424.0,4.0
2023,24h,raw,per_domain,Weather,ece,0.04107476635514015,3424.0,4.0
2023,24h,raw,per_domain,Weather,log_loss,0.5340009490191048,3424.0,4.0
2023,24h,raw,pooled,ALL,brier,0.16620171293561722,5079.0,4.0
2023,24h,raw,pooled,ALL,ece,0.03558771411695211,5079.0,4.0
