family,comparison,metric,tau,domain,fit_scope,alpha,point_estimate,ci_lo,ci_hi,boot_median,significant,n_markets,n_quarters
H1,isotonic - raw,dbrier,24h,Politics,pooled,NA,0.0007203502288527822,-0.0006042250975681636,0.0018755043571840276,0.0006709431264422603,False,1181,12
H1,platt - raw,dbrier,24h,Politics,pooled,NA,2.1466165241073385e-05,-0.0006962535478163953,0.0007025486365532247,3.144538735237227e-05,False,1181,12
H1,venn_abers - raw,dbrier,24h,Politics,pooled,NA,0.0006843453639896897,-0.0005393393184422353,0.0018667518837141794,0.0006868342702346662,False,1181,12
H1,binning10 - raw,dbrier,24h,Sports,pooled,NA,0.0023001365138419832,0.001398465797953638,0.003120483637934214,0.002280876306138599,True,8523,7
H1,isotonic - raw,dbrier,24h,Sports,pooled,NA,0.0003349159291367486,-7.91935597680386e-05,0.0007536641012333398,0.00033103026416396003,False,8523,7
H1,platt - raw,dbrier,24h,Sports,pooled,NA,-0.000130802537948954,-0.000436054108317876,0.00020934083435217432,-0.00012105375714469985,False,8523,7
H1,venn_abers - raw,dbrier,24h,Sports,pooled,NA,0.0003300280491269619,-0.00010919175962190129,0.0007500553796100285,0.00033763789472434535,False,8523,7
H1,binning10 - raw,dbrier,24h,Weather,pooled,NA,0.001962982060347772,0.0014399951127458772,0.0025272883125993825,0.0019541306554130174,True,19253,14
H1,isotonic - raw,dbrier,24h,Weather,pooled,NA,0.0005025050024631577,0.00012751342232610743,0.0008470520611830227,0.0005020266011072122,True,19253,14
H1,platt - raw,dbrier,24h,Weather,pooled,NA,8.196108707503864e-05,-0.00011476022699218699,0.00026140727559525925,7.901570118038195e-05,False,19253,14
H1,venn_abers - raw,dbrier,24h,Weather,pooled,NA,0.0005024762980070187,0.00014678304793975998,0.0008410716668929415,0.0005099572615134146,True,19253,14
H1,binning10 - raw,dlog_loss,24h,ALL,pooled,NA,0.007496364833977567,0.0063943698316201334,0.008709523774044499,0.007508036685850523,True,38346,14
H1,isotonic - raw,dlog_loss,24h,ALL,pooled,NA,0.0034967422941738924,0.002088118489079331,0.005131343101481627,0.0034829289690544345,True,38346,14
H1,platt - raw,dlog_loss,24h,ALL,pooled,NA,0.000277174719974793,-4.0835092346668464e-05,0.000611132515904348,0.00027730837105334916,False,38346,14
H1,venn_abers - raw,dlog_loss,24h,ALL,pooled,NA,0.0016977860665293226,0.0010481723663250118,0.0023705571374710356,0.0016963340944218296,True,38346,14
H1,binning10 - raw,dlog_loss,24h,Crypto,pooled,NA,0.017209747170502235,0.010567746644861131,0.024954972814218126,0.017499913006904615,True,1810,7
H1,isotonic - raw,dlog_loss,24h,Crypto,pooled,NA,0.0035252732458395594,0.0005499074088371874,0.0069292979378827455,0.003642426935131453,True,1810,7
H1,platt - raw,dlog_loss,24h,Crypto,pooled,NA,0.003298873105514979,0.002006817102162698,0.004828707572764708,0.0033193817426236207,True,1810,7
H1,venn_abers - raw,dlog_loss,24h,Crypto,pooled,NA,0.003745194005222041,0.0009489440796684027,0.006647757989877195,0.003752322485730247,True,1810,7
H1,binning10 - raw,dlog_loss,24h,Entertainment,pooled,NA,0.013329573331670478,0.006685344271173686,0.020085838108444262,0.013546793806199931,True,2297,12
H1,isotonic - raw,dlog_loss,24h,Entertainment,pooled,NA,0.007498423998421691,0.0005729249545649145,0.020402031511223835,0.0070291182277259345,True,2297,12
H1,platt - raw,dlog_loss,24h,Entertainment,pooled,NA,-6.923288572989181e-06,-0.0011188491474125712,0.0010941578918194407,9.290810746194447e-06,False,2297,12
H1,venn_abers - raw,dlog_loss,24h,Entertainment,pooled,NA,0.00214478128319988,-0.000524262149131289,0.004584222820802036,0.0021175955832253776,False,2297,12
H1,binning10 - raw,dlog_loss,24h,Finance,pooled,NA,0.012821226931077638,0.008948134358890584,0.016463941810453735,0.01286676386013352,True,5282,14
H1,isotonic - raw,dlog_loss,24h,Finance,pooled,NA,0.01215849633474101,0.00444377499046519,0.02158385851432891,0.011874169475251826,True,5282,14
H1,platt - raw,dlog_loss,24h,Finance,pooled,NA,0.001342612259953287,0.0005072695570230544,0.00224414089476807,0.0013570768969297028,True,5282,14
H1,venn_abers - raw,dlog_loss,24h,Finance,pooled,NA,0.003618009545360269,0.0013378981040304517,0.0058369177841838165,0.003610169192859562,True,5282,14
H1,binning10 - raw,dlog_loss,24h,Politics,pooled,NA,0.0136427420893597,0.004903031354548107,0.022171680749680775,0.013632377840992041,True,1181,12
H1,isotonic - raw,dlog_loss,24h,Politics,pooled,NA,0.002545025629908011,-0.0012748601660812473,0.006622659511998051,0.0025817292994624414,False,1181,12
H1,platt - raw,dlog_loss,24h,Politics,pooled,NA,-0.00010065507909137806,-0.0017842044471693764,0.001769003601301581,-5.011053509624194e-05,False,1181,12
H1,venn_abers - raw,dlog_loss,24h,Politics,pooled,NA,0.002251686311456602,-0.0010405421443756043,0.00564232281483574,0.002233579057504983,False,1181,12
H1,binning10 - raw,dlog_loss,24h,Sports,pooled,NA,0.0063960367362370756,0.00405543687269784,0.008954787944330335,0.006435828980324489,True,8523,7
H1,isotonic - raw,dlog_loss,24h,Sports,pooled,NA,0.0007618573561285794,-0.00042415002316451776,0.00197751861587496,0.0007592259379522472,False,8523,7
H1,platt - raw,dlog_loss,24h,Sports,pooled,NA,-0.0003685920379349887,-0.0011151144548206917,0.00037756777884486077,-0.000375830165265197,False,8523,7
H1,venn_abers - raw,dlog_loss,24h,Sports,pooled,NA,0.0008038579336899958,-0.000302077293601537,0.001846615142278669,0.0007736296088023983,False,8523,7
H1,binning10 - raw,dlog_loss,24h,Weather,pooled,NA,0.0045364729362599695,0.0030969784257729384,0.005948484651842615,0.004523212178769611,True,19253,14
H1,isotonic - raw,dlog_loss,24h,Weather,pooled,NA,0.0019093799593694805,0.0006298035985908762,0.003511968739108836,0.0018514318548549557,True,19253,14
H1,platt - raw,dlog_loss,24h,Weather,pooled,NA,4.374330835075147e-05,-0.0003715827245262993,0.0004769887527463312,4.865976202744642e-05,False,19253,14
H1,venn_abers - raw,dlog_loss,24h,Weather,pooled,NA,0.0012869210839302116,0.0004213696769760395,0.0021421386123948384,0.00128741537269216,True,19253,14
H2,mondrian - marginal,dcoverage,1w,ALL,na,0.1,-0.0011327594019030357,-0.005437245129134572,0.0031773901223380104,-0.0011327594019030357,False,4414,4
H2,mondrian - marginal,dcoverage,1w,Crypto,na,0.1,0.0,-0.033707865168539325,0.033707865168539325,0.0,False,89,4
H2,mondrian - marginal,dcoverage,1w,Entertainment,na,0.1,-0.013227513227513227,-0.019400352733686066,-0.007054673721340388,-0.013227513227513227,True,1134,4
H2,mondrian - marginal,dcoverage,1w,Finance,na,0.1,0.010606060606060607,0.0030303030303030303,0.01818181818181818,0.010606060606060607,True,660,4
H2,mondrian - marginal,dcoverage,1w,Politics,na,0.1,0.05007153075822604,0.034334763948497854,0.06580829756795423,0.05007153075822604,True,699,4
H2,mondrian - marginal,dcoverage,1w,Sports,na,0.1,-0.020624631703005304,-0.02828520919269299,-0.01296405421331762,-0.020624631703005304,True,1697,4
H2,mondrian - marginal,dcoverage,1w,Weather,na,0.1,0.022222222222222223,0.0,0.05185185185185185,0.022222222222222223,False,135,4
H2,mondrian - marginal,dcoverage,24h,ALL,na,0.1,-2.607833933135138e-05,-0.0011480988890627444,0.001095942210400041,-5.215667866270276e-05,False,38346,14
H2,mondrian - marginal,dcoverage,24h,Crypto,na,0.1,0.020441988950276244,0.014364640883977901,0.02707182320441989,0.020441988950276244,True,1810,7
H2,mondrian - marginal,dcoverage,24h,Entertainment,na,0.1,0.0030474531998258597,-0.00261210274270788,0.0087070091423596,0.0030474531998258597,False,2297,12
H2,mondrian - marginal,dcoverage,24h,Finance,na,0.1,0.023665278303672852,0.01968951154865581,0.027830367285119274,0.023475956077243468,True,5282,14
H2,mondrian - marginal,dcoverage,24h,Politics,na,0.1,0.027095681625740897,0.017781541066892465,0.03725656223539373,0.027095681625740897,True,1181,12
H2,mondrian - marginal,dcoverage,24h,Sports,na,0.1,-0.005045171887832923,-0.007509093042355978,-0.0023465915757362433,-0.004927842309046111,True,8523,7
H2,mondrian - marginal,dcoverage,24h,Weather,na,0.1,-0.008258453228068353,-0.009608892120708461,-0.007011894250246715,-0.008310393185477587,True,19253,14
H3,aci - static_once,dMAD_from_nominal,1w,ALL,na,0.1,-0.02485402435058895,-0.030360325584856726,-0.012735506067440469,-0.023054605903505276,True,4414,4
H3,rolling - static_once,dMAD_from_nominal,1w,ALL,na,0.1,-0.022338616953997414,-0.02919113875153457,-0.012953419332664907,-0.021319500210273706,True,4414,4
H3,aci - static_once,dMAD_from_nominal,1w,Crypto,na,0.1,-0.029941860465116293,-0.0427088068181818,0.007703488372093014,-0.019587997142176697,False,89,4
H3,rolling - static_once,dMAD_from_nominal,1w,Crypto,na,0.1,-0.029941860465116293,-0.04047651397515525,0.004298817804579492,-0.019230769230769218,False,89,4
H3,aci - static_once,dMAD_from_nominal,1w,Entertainment,na,0.1,-0.012223047735293369,-0.019591351154146203,0.0005527866293503748,-0.009624886718615167,False,1134,4
H3,rolling - static_once,dMAD_from_nominal,1w,Entertainment,na,0.1,-0.0025147928994083135,-0.008385216840230207,0.006320224719101125,-0.0020833333333333537,False,1134,4
H3,aci - static_once,dMAD_from_nominal,1w,Finance,na,0.1,-0.004964589511248146,-0.013648727581882212,0.005620420451646827,-0.004118908390697354,False,660,4
H3,rolling - static_once,dMAD_from_nominal,1w,Finance,na,0.1,0.0011415525114155112,-0.002193713450292404,0.003456221198156695,0.0010460251046024993,False,660,4
H3,aci - static_once,dMAD_from_nominal,1w,Politics,na,0.1,0.0015669515669515799,-0.008205428414553502,0.012775115028534574,0.0019465125106597897,False,699,4
H3,rolling - static_once,dMAD_from_nominal,1w,Politics,na,0.1,0.022359841804286268,0.010964074751116064,0.033412557968424926,0.022018323360832995,True,699,4
H3,aci - static_once,dMAD_from_nominal,1w,Sports,na,0.1,-0.06509073510486113,-0.08374447144118352,-0.03657536215135817,-0.06213254458650372,True,1697,4
H3,rolling - static_once,dMAD_from_nominal,1w,Sports,na,0.1,-0.047808901712541096,-0.06794762863063213,-0.026662088367622027,-0.046168816997420856,True,1697,4
H3,aci - static_once,dMAD_from_nominal,1w,Weather,na,0.1,0.0,0.0,0.0,0.0,False,135,4
H3,rolling - static_once,dMAD_from_nominal,1w,Weather,na,0.1,0.0,0.0,0.0,0.0,False,135,4
H3,aci - static_once,dMAD_from_nominal,24h,ALL,na,0.1,-0.0038070145214558915,-0.004735003535600325,-0.00036641924739813506,-0.002751512605576723,True,38346,14
H3,rolling - static_once,dMAD_from_nominal,24h,ALL,na,0.1,0.005406846844908687,0.0025001760680848435,0.006990834928971715,0.005011036546237361,True,38346,14
H3,aci - static_once,dMAD_from_nominal,24h,Crypto,na,0.1,-0.01894558327859787,-0.032510067625319106,-0.004156942613684638,-0.01782598078700432,True,1810,7
H3,rolling - static_once,dMAD_from_nominal,24h,Crypto,na,0.1,-0.003866700271309906,-0.016687656048200786,0.008523374135812355,-0.003446025365861586,False,1810,7
H3,aci - static_once,dMAD_from_nominal,24h,Entertainment,na,0.1,-0.03506665131392846,-0.06598077816666802,-0.021226796521222602,-0.03827676614838909,True,2297,12
H3,rolling - static_once,dMAD_from_nominal,24h,Entertainment,na,0.1,-0.031939778655738785,-0.06377617777479584,-0.01943827340995952,-0.03591624619670643,True,2297,12
H3,aci - static_once,dMAD_from_nominal,24h,Finance,na,0.1,-0.013970402943688993,-0.016131072530314112,-0.001035936215425619,-0.009072168248445414,True,5282,14
H3,rolling - static_once,dMAD_from_nominal,24h,Finance,na,0.1,-0.007754444245345882,-0.014145562182029461,0.0025057683879474804,-0.0057145596416490075,False,5282,14
H3,aci - static_once,dMAD_from_nominal,24h,Politics,na,0.1,0.0008949909933074901,-0.03178897825876529,0.006457417161710726,-0.0023539074165786836,False,1181,12
H3,rolling - static_once,dMAD_from_nominal,24h,Politics,na,0.1,0.004364189722099912,-0.028890646987869358,0.009482682805431679,0.0008666102796712136,False,1181,12
H3,aci - static_once,dMAD_from_nominal,24h,Sports,na,0.1,0.002372352467222144,-0.013845589910143714,0.013705910876084521,-0.0014884235106346622,False,8523,7
H3,rolling - static_once,dMAD_from_nominal,24h,Sports,na,0.1,0.014008981723050436,-0.00294949725102933,0.0242559802634439,0.010170952892683969,False,8523,7
H3,aci - static_once,dMAD_from_nominal,24h,Weather,na,0.1,-0.014350085745641363,-0.014191428608743312,-0.006848380290739969,-0.011025063087625284,True,19253,14
H3,rolling - static_once,dMAD_from_nominal,24h,Weather,na,0.1,-0.0020910273028876755,-0.0047082742762695135,0.0006444445518781299,-0.0019316500261038327,False,19253,14
