method,fit_scope,domain,tau,alpha,metric,value,n_test
Conformal-mondrian,per_domain,Finance,24h,0.1,coverage,0.9263157894736842,570
Conformal-mondrian,per_domain,Finance,24h,0.1,avg_set_size,1.419298245614035,570
Conformal-mondrian,per_domain,Finance,24h,0.05,coverage,0.9771929824561404,570
Conformal-mondrian,per_domain,Finance,24h,0.05,avg_set_size,1.7263157894736842,570
Conformal-mondrian,per_domain,Finance,24h,0.2,coverage,0.7333333333333333,570
Conformal-mondrian,per_domain,Finance,24h,0.2,avg_set_size,0.9315789473684211,570
Raw,per_domain,Weather,24h,NA,brier,0.15272917169765757,4141
Raw,per_domain,Weather,24h,NA,log_loss,0.46673319458250495,4141
Raw,per_domain,Weather,24h,NA,ece,0.02712146824438541,4141
Platt,per_domain,Weather,24h,NA,brier,0.15237931099401142,4141
Platt,per_domain,Weather,24h,NA,log_loss,0.4650268540955808,4141
Platt,per_domain,Weather,24h,NA,ece,0.021101178025112393,4141
Isotonic,per_domain,Weather,24h,NA,brier,0.15253788066982474,4141
Isotonic,per_domain,Weather,24h,NA,log_loss,0.46816259172416574,4141
Isotonic,per_domain,Weather,24h,NA,ece,0.019082978367535332,4141
HistogramBinning,per_domain,Weather,24h,NA,brier,0.153319586990709,4141
HistogramBinning,per_domain,Weather,24h,NA,log_loss,0.4675965206783406,4141
HistogramBinning,per_domain,Weather,24h,NA,ece,0.015815375366281692,4141
VennAbers,per_domain,Weather,24h,NA,brier,0.1525502978377456,4141
VennAbers,per_domain,Weather,24h,NA,log_loss,0.46576547992602485,4141
VennAbers,per_domain,Weather,24h,NA,ece,0.019974082915205596,4141
Conformal-marginal,per_domain,Weather,24h,NA,brier,0.15272917169765757,4141
Conformal-marginal,per_domain,Weather,24h,NA,log_loss,0.46673319458250495,4141
Conformal-marginal,per_domain,Weather,24h,NA,ece,0.02712146824438541,4141
Conformal-marginal,per_domain,Weather,24h,0.1,coverage,0.925863318039121,4141
Conformal-marginal,per_domain,Weather,24h,0.1,avg_set_size,1.374064235691862,4141
Conformal-marginal,per_domain,Weather,24h,0.05,coverage,0.9630524028012557,4141
Conformal-marginal,per_domain,Weather,24h,0.05,avg_set_size,1.5469693310794495,4141
Conformal-marginal,per_domain,Weather,24h,0.2,coverage,0.8357884568944699,4141
Conformal-marginal,per_domain,Weather,24h,0.2,avg_set_size,1.1371649360057956,4141
Conformal-mondrian,per_domain,Weather,24h,NA,brier,0.15272917169765757,4141
Conformal-mondrian,per_domain,Weather,24h,NA,log_loss,0.46673319458250495,4141
Conformal-mondrian,per_domain,Weather,24h,NA,ece,0.02712146824438541,4141
Conformal-mondrian,per_domain,Weather,24h,0.1,coverage,0.925863318039121,4141
Conformal-mondrian,per_domain,Weather,24h,0.1,avg_set_size,1.374064235691862,4141
Conformal-mondrian,per_domain,Weather,24h,0.05,coverage,0.9630524028012557,4141
Conformal-mondrian,per_domain,Weather,24h,0.05,avg_set_size,1.5469693310794495,4141
Conformal-mondrian,per_domain,Weather,24h,0.2,coverage,0.8357884568944699,4141
Conformal-mondrian,per_domain,Weather,24h,0.2,avg_set_size,1.1371649360057956,4141
Raw,per_domain,Entertainment,24h,NA,brier,0.1496940401940402,1443
Raw,per_domain,Entertainment,24h,NA,log_loss,0.46744860739628963,1443
Raw,per_domain,Entertainment,24h,NA,ece,0.042252252252252244,1443
Platt,per_domain,Entertainment,24h,NA,brier,0.14875346224524416,1443
Platt,per_domain,Entertainment,24h,NA,log_loss,0.4655800989025362,1443
Platt,per_domain,Entertainment,24h,NA,ece,0.03318772069673934,1443
Isotonic,per_domain,Entertainment,24h,NA,brier,0.15079520684682135,1443
Isotonic,per_domain,Entertainment,24h,NA,log_loss,0.4729930773422514,1443
Isotonic,per_domain,Entertainment,24h,NA,ece,0.0466730173489629,1443
HistogramBinning,per_domain,Entertainment,24h,NA,brier,0.15138433391976983,1443
HistogramBinning,per_domain,Entertainment,24h,NA,log_loss,0.474317854074671,1443
HistogramBinning,per_domain,Entertainment,24h,NA,ece,0.050011229267449046,1443
VennAbers,per_domain,Entertainment,24h,NA,brier,0.15114117966957577,1443
VennAbers,per_domain,Entertainment,24h,NA,log_loss,0.4733908939346279,1443
VennAbers,per_domain,Entertainment,24h,NA,ece,0.051460143802825875,1443
Conformal-marginal,per_domain,Entertainment,24h,NA,brier,0.1496940401940402,1443
Conformal-marginal,per_domain,Entertainment,24h,NA,log_loss,0.46744860739628963,1443
Conformal-marginal,per_domain,Entertainment,24h,NA,ece,0.042252252252252244,1443
Conformal-marginal,per_domain,Entertainment,24h,0.1,coverage,0.9182259182259183,1443
Conformal-marginal,per_domain,Entertainment,24h,0.1,avg_set_size,1.3527373527373527,1443
Conformal-marginal,per_domain,Entertainment,24h,0.05,coverage,0.9542619542619543,1443
Conformal-marginal,per_domain,Entertainment,24h,0.05,avg_set_size,1.5932085932085933,1443
Conformal-marginal,per_domain,Entertainment,24h,0.2,coverage,0.8004158004158004,1443
Conformal-marginal,per_domain,Entertainment,24h,0.2,avg_set_size,1.006930006930007,1443
Conformal-mondrian,per_domain,Entertainment,24h,NA,brier,0.1496940401940402,1443
Conformal-mondrian,per_domain,Entertainment,24h,NA,log_loss,0.46744860739628963,1443
Conformal-mondrian,per_domain,Entertainment,24h,NA,ece,0.042252252252252244,1443
Conformal-mondrian,per_domain,Entertainment,24h,0.1,coverage,0.9182259182259183,1443
Conformal-mondrian,per_domain,Entertainment,24h,0.1,avg_set_size,1.3527373527373527,1443
Conformal-mondrian,per_domain,Entertainment,24h,0.05,coverage,0.9542619542619543,1443
Conformal-mondrian,per_domain,Entertainment,24h,0.05,avg_set_size,1.5932085932085933,1443
Conformal-mondrian,per_domain,Entertainment,24h,0.2,coverage,0.8004158004158004,1443
Conformal-mondrian,per_domain,Entertainment,24h,0.2,avg_set_size,1.006930006930007,1443
Raw,per_domain,ALL,24h,NA,brier,0.18765754965835055,31465
Raw,per_domain,ALL,24h,NA,log_loss,0.5528616565089528,31465
Raw,per_domain,ALL,24h,NA,ece,0.01834037819799776,31465
Platt,per_domain,ALL,24h,NA,brier,0.18772109306385068,31465
Platt,per_domain,ALL,24h,NA,log_loss,0.5528084437078467,31465
Platt,per_domain,ALL,24h,NA,ece,0.014144135697025653,31465
Isotonic,per_domain,ALL,24h,NA,brier,0.18918607242235075,31465
Isotonic,per_domain,ALL,24h,NA,log_loss,0.5637934673019726,31465
Isotonic,per_domain,ALL,24h,NA,ece,0.02765756793135185,31465
HistogramBinning,per_domain,ALL,24h,NA,brier,0.1899481883929082,31465
HistogramBinning,per_domain,ALL,24h,NA,log_loss,0.5586535307480608,31465
HistogramBinning,per_domain,ALL,24h,NA,ece,0.024410241878846616,31465
VennAbers,per_domain,ALL,24h,NA,brier,0.18907621928173077,31465
VennAbers,per_domain,ALL,24h,NA,log_loss,0.5563799395242413,31465
VennAbers,per_domain,ALL,24h,NA,ece,0.026547603074023377,31465
Conformal-marginal,per_domain,ALL,24h,NA,brier,0.18765754965835055,31465
Conformal-marginal,per_domain,ALL,24h,NA,log_loss,0.5528616565089528,31465
Conformal-marginal,per_domain,ALL,24h,NA,ece,0.01834037819799776,31465
Conformal-mondrian,per_domain,ALL,24h,NA,brier,0.18765754965835055,31465
Conformal-mondrian,per_domain,ALL,24h,NA,log_loss,0.5528616565089528,31465
Conformal-mondrian,per_domain,ALL,24h,NA,ece,0.01834037819799776,31465
