tau,domain,test_quarter,n_test,cov_static_once,cov_rolling,cov_aci_g0.005,absdev_static_once,absdev_rolling,absdev_aci_g0.005,mad_static_once,mad_rolling,mad_aci_g0.005,n_quarters,n_test_total,static_once_n_cal_frozen,static_once_borrowed_pooled
1w,Politics,2025Q2,154,0.935064935064935,0.9545454545454546,0.935064935064935,0.03506493506493502,0.054545454545454564,0.03506493506493502,0.04521651188317849,0.06757635368746476,0.0467834634501301,4,699,58.0,False
1w,Politics,2025Q3,260,0.946153846153846,0.946153846153846,0.9153846153846154,0.04615384615384599,0.04615384615384599,0.01538461538461533,0.04521651188317849,0.06757635368746476,0.0467834634501301,4,699,58.0,False
1w,Finance,2024Q4,110,0.9,0.9,0.9090909090909092,0.0,0.0,0.00909090909090915,0.018162920356214807,0.019304472867630318,0.013198330844966716,4,660,450.0,False
1w,Finance,2025Q1,150,0.8733333333333333,0.8733333333333333,0.8866666666666667,0.026666666666666727,0.026666666666666727,0.013333333333333308,0.018162920356214807,0.019304472867630318,0.013198330844966716,4,660,450.0,False
1w,Finance,2025Q2,219,0.9178082191780822,0.9223744292237442,0.91324200913242,0.017808219178082174,0.02237442922374422,0.013242009132420018,0.018162920356214807,0.019304472867630318,0.013198330844966716,4,660,450.0,False
1w,Finance,2025Q3,181,0.9281767955801103,0.9281767955801103,0.9171270718232044,0.028176795580110325,0.028176795580110325,0.017127071823204387,0.018162920356214807,0.019304472867630318,0.013198330844966716,4,660,450.0,False
1w,Weather,2024Q4,40,0.9,0.9,0.9,0.0,0.0,0.0,0.005968394932741261,0.005968394932741261,0.005968394932741261,4,135,123.0,False
1w,Weather,2025Q1,26,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.015384615384615441,0.015384615384615441,0.015384615384615441,0.005968394932741261,0.005968394932741261,0.005968394932741261,4,135,123.0,False
1w,Weather,2025Q2,31,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.003225806451612745,0.003225806451612745,0.003225806451612745,0.005968394932741261,0.005968394932741261,0.005968394932741261,4,135,123.0,False
1w,Weather,2025Q3,38,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.0052631578947368585,0.0052631578947368585,0.0052631578947368585,0.005968394932741261,0.005968394932741261,0.005968394932741261,4,135,123.0,False
1w,Entertainment,2024Q4,155,0.9161290322580644,0.9161290322580644,0.9161290322580644,0.01612903225806439,0.01612903225806439,0.01612903225806439,0.025226127918994895,0.02271133501958658,0.013003080183701526,4,1134,378.0,False
1w,Entertainment,2025Q1,418,0.8875598086124402,0.8875598086124402,0.8875598086124402,0.012440191387559807,0.012440191387559807,0.012440191387559807,0.025226127918994895,0.02271133501958658,0.013003080183701526,4,1134,378.0,False
1w,Entertainment,2025Q2,223,0.8430493273542601,0.8430493273542601,0.8789237668161435,0.05695067264573994,0.05695067264573994,0.02107623318385654,0.025226127918994895,0.02271133501958658,0.013003080183701526,4,1134,378.0,False
1w,Entertainment,2025Q3,338,0.8846153846153846,0.9053254437869822,0.9023668639053254,0.015384615384615441,0.005325443786982187,0.002366863905325367,0.025226127918994895,0.02271133501958658,0.013003080183701526,4,1134,378.0,False
1w,ALL,2024Q4,403,0.913151364764268,0.913151364764268,0.9156327543424316,0.013151364764267925,0.013151364764267925,0.01563275434243161,0.03426945351684016,0.011930836562842745,0.00941542916625121,4,4414,,
