domain,tau,method,bin_idx,bin_lo,bin_hi,n,value,ci_lo,ci_hi,alpha,param_name
Finance,24h,binning10,1,0.06,0.09,712,0.07443820224719101,0.05625345116284118,0.09623883701587657,,recal_prob
Finance,24h,binning10,2,0.09,0.11,526,0.13878326996197718,0.11038657527077703,0.17131012163594772,,recal_prob
Finance,24h,binning10,3,0.11,0.14,650,0.14307692307692307,0.11705996545052327,0.1723836047640554,,recal_prob
Finance,24h,binning10,4,0.14,0.17,467,0.14346895074946467,0.11294731171873146,0.17858899290344052,,recal_prob
Finance,24h,binning10,5,0.17,0.22,639,0.16118935837245696,0.13351583923759625,0.19203486957425708,,recal_prob
Finance,24h,binning10,6,0.22,0.3,568,0.2640845070422535,0.2282569141123355,0.3023864248688956,,recal_prob
Finance,24h,binning10,7,0.3,0.49,608,0.3684210526315789,0.3299755626079876,0.40815143034100076,,recal_prob
Finance,24h,binning10,8,0.49,0.79,554,0.6371841155234657,0.5955962273353312,0.6773001255613507,,recal_prob
Finance,24h,binning10,9,0.79,0.95,569,0.8892794376098418,0.8605698735694958,0.9138639331901158,,recal_prob
Finance,24h,platt,,,,5598,0.9485638930464719,,,,a_slope_on_logit_p
Finance,24h,platt,,,,5598,0.0017716968938401466,,,,b_intercept
Finance,24h,conformal_mondrian,,,,5598,0.86,,,0.05,q_hat
Finance,24h,conformal_mondrian,,,,5598,0.76,,,0.1,q_hat
Finance,24h,conformal_mondrian,,,,5598,0.47,,,0.2,q_hat
Weather,24h,binning10,0,0.05,0.07,1546,0.04333764553686934,0.03374119882489834,0.05471316367513165,,recal_prob
Weather,24h,binning10,1,0.07,0.11,2351,0.06763079540621013,0.0578113694550826,0.07854336196028276,,recal_prob
Weather,24h,binning10,2,0.11,0.16,2483,0.11639146194120016,0.1040341120539409,0.1296613612740324,,recal_prob
Weather,24h,binning10,3,0.16,0.21,2159,0.1667438628994905,0.15124971463919562,0.18314823463486518,,recal_prob
Weather,24h,binning10,4,0.21,0.26,2009,0.21204579392732703,0.19435325526161626,0.23058263263519607,,recal_prob
Weather,24h,binning10,5,0.26,0.32,2397,0.25114726741760535,0.2338901298264287,0.26901452162295114,,recal_prob
Weather,24h,binning10,6,0.32,0.37,2198,0.3343949044585987,0.3146761298494844,0.35455615697899545,,recal_prob
Weather,24h,binning10,7,0.37,0.43,2213,0.3904202440126525,0.37002534964791345,0.4111057830694684,,recal_prob
Weather,24h,binning10,8,0.43,0.51,2032,0.4655511811023622,0.44367994016463475,0.48752195516491365,,recal_prob
Weather,24h,binning10,9,0.51,0.95,2312,0.6362456747404844,0.616256881533974,0.6558885992326349,,recal_prob
Weather,24h,platt,,,,21700,1.0795191865011122,,,,a_slope_on_logit_p
Weather,24h,platt,,,,21700,-0.006027109001644492,,,,b_intercept
Weather,24h,conformal_mondrian,,,,21700,0.77,,,0.05,q_hat
Weather,24h,conformal_mondrian,,,,21700,0.6799999999999999,,,0.1,q_hat
Weather,24h,conformal_mondrian,,,,21700,0.55,,,0.2,q_hat
Entertainment,24h,binning10,0,0.05,0.07,250,0.036,0.01659128292578173,0.06723690845885114,,recal_prob
Entertainment,24h,binning10,1,0.07,0.11,321,0.08411214953271028,0.056161562016806416,0.12001940191028476,,recal_prob
Entertainment,24h,binning10,2,0.11,0.18,324,0.12345679012345678,0.08968289493137462,0.16430021394711541,,recal_prob
Entertainment,24h,binning10,3,0.18,0.27,332,0.1927710843373494,0.15173959196336056,0.2393816050194881,,recal_prob
Entertainment,24h,binning10,4,0.27,0.375,316,0.25316455696202533,0.206153191051912,0.3048700080435536,,recal_prob
Entertainment,24h,binning10,5,0.375,0.54,297,0.3602693602693603,0.3056248855051479,0.4177328054336689,,recal_prob
Entertainment,24h,binning10,6,0.54,0.7,315,0.5714285714285714,0.5147354811505397,0.6267655823041127,,recal_prob
Entertainment,24h,binning10,7,0.7,0.84,310,0.7677419354838709,0.7166821004003536,0.8136037759152406,,recal_prob
Entertainment,24h,binning10,8,0.84,0.91,294,0.8367346938775511,0.7894281861358294,0.8771004315070484,,recal_prob
Entertainment,24h,binning10,9,0.91,0.95,327,0.9174311926605505,0.8821399555837183,0.9448825111845658,,recal_prob
Entertainment,24h,platt,,,,3086,0.997486290437348,,,,a_slope_on_logit_p
Entertainment,24h,platt,,,,3086,-0.21800337989559648,,,,b_intercept
Entertainment,24h,conformal_mondrian,,,,3086,0.83,,,0.05,q_hat
Entertainment,24h,conformal_mondrian,,,,3086,0.7,,,0.1,q_hat
Entertainment,24h,conformal_mondrian,,,,3086,0.5,,,0.2,q_hat
Sports,1w,binning10,0,0.05,0.09,272,0.007352941176470588,0.0008917190234821361,0.02630747082654131,,recal_prob
Sports,1w,binning10,1,0.09,0.18,376,0.10106382978723404,0.07251590017023622,0.1360741673095757,,recal_prob
Sports,1w,binning10,2,0.18,0.25,293,0.17747440273037543,0.13547893266121647,0.22613044101122864,,recal_prob
Sports,1w,binning10,3,0.25,0.33,342,0.21637426900584794,0.17389316403101152,0.2638437920536064,,recal_prob
Sports,1w,binning10,4,0.33,0.43,324,0.31790123456790126,0.2675245762893886,0.3716451890590663,,recal_prob
Sports,1w,binning10,5,0.43,0.51,304,0.4144736842105263,0.3585252314119329,0.47210569193067137,,recal_prob
Sports,1w,binning10,6,0.51,0.6,332,0.5421686746987951,0.4868985701776786,0.5966798989890314,,recal_prob
Sports,1w,binning10,7,0.6,0.72,348,0.6695402298850575,0.6173971354005582,0.7187684462938884,,recal_prob
Sports,1w,binning10,8,0.72,0.84,317,0.7791798107255521,0.7294353915891023,0.8236218405046265,,recal_prob
Sports,1w,binning10,9,0.84,0.95,334,0.8892215568862275,0.850549340164503,0.9207924232152929,,recal_prob
Sports,1w,platt,,,,3242,1.1487408703967799,,,,a_slope_on_logit_p
Sports,1w,platt,,,,3242,-0.14392753163891106,,,,b_intercept
Sports,1w,conformal_mondrian,,,,3242,0.77,,,0.05,q_hat
Sports,1w,conformal_mondrian,,,,3242,0.6699999999999999,,,0.1,q_hat
Sports,1w,conformal_mondrian,,,,3242,0.53,,,0.2,q_hat
Politics,1w,binning10,0,0.05,0.08,96,0.07291666666666667,0.029817842321782216,0.14447970722569897,,recal_prob
Politics,1w,binning10,1,0.08,0.15,129,0.10852713178294573,0.06061721950439303,0.17538332349961672,,recal_prob
Politics,1w,binning10,2,0.15,0.22,111,0.13513513513513514,0.07765076345833435,0.21307350895893953,,recal_prob
Politics,1w,binning10,3,0.22,0.31,116,0.3017241379310345,0.21997972126701718,0.39388574934867226,,recal_prob
Politics,1w,binning10,4,0.31,0.45,117,0.4188034188034188,0.328248673196318,0.5135696470121833,,recal_prob
Politics,1w,binning10,5,0.45,0.5960000000000013,122,0.5327868852459017,0.4403083572193871,0.6236365655077942,,recal_prob
Politics,1w,binning10,6,0.5960000000000013,0.7,111,0.5675675675675675,0.47015632009064795,0.6612826884729648,,recal_prob
Politics,1w,binning10,7,0.7,0.78,113,0.5929203539823009,0.49647264700548044,0.6843740416228516,,recal_prob
Politics,1w,binning10,8,0.78,0.88,120,0.825,0.7450199724342716,0.8882856569062535,,recal_prob
Politics,1w,binning10,9,0.88,0.95,117,0.8803418803418803,0.8073888830726887,0.9330130580232784,,recal_prob
Politics,1w,platt,,,,1152,0.8706743413775425,,,,a_slope_on_logit_p
Politics,1w,platt,,,,1152,-0.11915664951476494,,,,b_intercept
Politics,1w,conformal_mondrian,,,,1152,0.8,,,0.05,q_hat
Politics,1w,conformal_mondrian,,,,1152,0.73,,,0.1,q_hat
Politics,1w,conformal_mondrian,,,,1152,0.6,,,0.2,q_hat
Finance,1w,binning10,0,0.05,0.08,159,0.031446540880503145,0.010287924249414333,0.07185738193211107,,recal_prob
Finance,1w,binning10,1,0.08,0.13,173,0.07514450867052024,0.040616487936932524,0.12507152128596924,,recal_prob
Finance,1w,binning10,2,0.13,0.2,161,0.14906832298136646,0.09790599159240113,0.21363516760478773,,recal_prob
Finance,1w,binning10,3,0.2,0.3,165,0.2606060606060606,0.19546664382603327,0.3345555653774477,,recal_prob
Finance,1w,binning10,4,0.3,0.45,183,0.36065573770491804,0.29112931139586734,0.43477733014005027,,recal_prob
Finance,1w,binning10,5,0.45,0.61,170,0.48823529411764705,0.4109443822230759,0.5659435229735537,,recal_prob
Finance,1w,binning10,6,0.61,0.75,168,0.6130952380952381,0.5350025165070897,0.6871227732344165,,recal_prob
Finance,1w,binning10,7,0.75,0.86,176,0.7840909090909091,0.7159081958200888,0.8424495618024045,,recal_prob
Finance,1w,binning10,8,0.86,0.92,170,0.8823529411764706,0.8241640346776163,0.9266371279780917,,recal_prob
Finance,1w,binning10,9,0.92,0.95,172,0.9767441860465116,0.9415288555297456,0.9936280478655395,,recal_prob
Finance,1w,platt,,,,1697,1.0553176413419276,,,,a_slope_on_logit_p
Finance,1w,platt,,,,1697,-0.07897337243776449,,,,b_intercept
Finance,1w,conformal_mondrian,,,,1697,0.8,,,0.05,q_hat
Finance,1w,conformal_mondrian,,,,1697,0.7,,,0.1,q_hat
Finance,1w,conformal_mondrian,,,,1697,0.51,,,0.2,q_hat
Weather,1w,binning10,0,0.05,0.06,23,0.0,0.0,0.14818512891522437,,recal_prob
Weather,1w,binning10,1,0.06,0.08,27,0.1111111111111111,0.02352745438085398,0.291586924273552,,recal_prob
Weather,1w,binning10,2,0.08,0.13,38,0.13157894736842105,0.04413744005791443,0.2808638458837533,,recal_prob
Weather,1w,binning10,3,0.13,0.19,29,0.1724137931034483,0.0584560829726344,0.357747554414644,,recal_prob
Weather,1w,binning10,4,0.19,0.25,29,0.3103448275862069,0.15284593960863155,0.50832335380999,,recal_prob
Weather,1w,binning10,5,0.25,0.37,32,0.46875,0.2909398229060152,0.6525631907136071,,recal_prob
Weather,1w,binning10,6,0.37,0.56,29,0.6206896551724138,0.4226046406644011,0.7931313005134929,,recal_prob
Weather,1w,binning10,7,0.56,0.71,30,0.7,0.5060409585374464,0.8526548152452988,,recal_prob
Weather,1w,binning10,8,0.71,0.8460000000000002,31,0.7096774193548387,0.5196393417710907,0.857771470902475,,recal_prob
Weather,1w,binning10,9,0.8460000000000002,0.95,30,0.9666666666666667,0.8278305443665873,0.9991564290733695,,recal_prob
Weather,1w,platt,,,,298,0.9848987667082441,,,,a_slope_on_logit_p
Weather,1w,platt,,,,298,0.36898200206015846,,,,b_intercept
Weather,1w,conformal_mondrian,,,,298,0.83,,,0.05,q_hat
Weather,1w,conformal_mondrian,,,,298,0.76,,,0.1,q_hat
Weather,1w,conformal_mondrian,,,,298,0.5800000000000001,,,0.2,q_hat
Entertainment,1w,binning10,0,0.05,0.07,150,0.04,0.014818521114898012,0.08502781471819877,,recal_prob
Entertainment,1w,binning10,1,0.07,0.12,202,0.04455445544554455,0.02057264300767904,0.0828907734164035,,recal_prob
Entertainment,1w,binning10,2,0.12,0.2,213,0.107981220657277,0.06969334627981247,0.15761074816735512,,recal_prob
Entertainment,1w,binning10,3,0.2,0.3,180,0.16666666666666666,0.11536398484624556,0.2292982198901109,,recal_prob
Entertainment,1w,binning10,4,0.3,0.43,203,0.2955665024630542,0.23374292239134256,0.36347200097667215,,recal_prob
Entertainment,1w,binning10,5,0.43,0.56,189,0.4497354497354497,0.37745868512870084,0.5236137967396257,,recal_prob
Entertainment,1w,binning10,6,0.56,0.69,192,0.5104166666666666,0.4374232234954792,0.5830835349662822,,recal_prob
Entertainment,1w,binning10,7,0.69,0.81,189,0.7142857142857143,0.6442077983563874,0.7775050401507996,,recal_prob
Entertainment,1w,binning10,8,0.81,0.9,179,0.8379888268156425,0.7756837724720131,0.8887334718220843,,recal_prob
Entertainment,1w,binning10,9,0.9,0.95,205,0.9463414634146341,0.9060199183488774,0.9729128141127309,,recal_prob
