variant,variant_label,method,domain,tau,fit_scope,metric,value,primary_value,delta_vs_primary,n_test,primary_n_test,n_quarters
bins20,"HistogramBinning(20), primary filters",binning20,Politics,1w,pooled,log_loss,0.5742138908385266,0.5463258623511119,0.027888028487414673,699.0,699.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,1w,pooled,log_loss,0.409183686139807,0.40634233978027934,0.0028413463595276522,660.0,660.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,1w,pooled,log_loss,0.4760548456499649,0.4766218076015445,-0.0005669619515795699,135.0,135.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,1w,pooled,log_loss,0.47062643286189787,0.46585155445192417,0.004774878409973704,1134.0,1134.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,1w,pooled,log_loss,0.48330039258264973,0.4768572611965397,0.006443131386110024,4414.0,4414.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,24h,per_domain,brier,0.1967993814111263,0.19703021121609482,-0.00023082980496852423,8056.0,8056.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,24h,per_domain,brier,0.21134747560128034,0.21233016925139203,-0.0009826936501116934,1255.0,1255.0,3.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,24h,per_domain,brier,0.1794062329404753,0.18020867162256524,-0.0008024386820899287,850.0,850.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,24h,per_domain,brier,0.14260578391266113,0.14326308111442515,-0.0006572972017640233,5042.0,5042.0,13.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,24h,per_domain,brier,0.16580124375424488,0.16605783433408103,-0.0002565905798361523,19253.0,19253.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,24h,per_domain,brier,0.1526653047470039,0.15123346929857076,0.0014318354484331441,2124.0,2124.0,6.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,24h,per_domain,brier,0.17054682920442304,0.17079253534854275,-0.0002457061441197006,36580.0,36580.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,24h,pooled,brier,0.19175168199900147,0.1934175716892497,-0.0016658896902482234,8523.0,8523.0,7.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,24h,pooled,brier,0.18923528722855393,0.1935705019518548,-0.0043352147233008675,1810.0,1810.0,7.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,24h,pooled,brier,0.16885359171620937,0.17205270520534185,-0.003199113489132488,1181.0,1181.0,12.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,24h,pooled,brier,0.14210323655880025,0.143101887557777,-0.0009986509989767522,5282.0,5282.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,24h,pooled,brier,0.16547154002817097,0.16648284390006104,-0.001011303871890079,19253.0,19253.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,24h,pooled,brier,0.14703820496973766,0.150379589865875,-0.003341384896137334,2297.0,2297.0,12.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,24h,pooled,brier,0.16821548948676424,0.16973439468256946,-0.0015189051958052202,38346.0,38346.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,24h,per_domain,ece,0.03280697212673769,0.032369369695811084,0.00043760243092660217,8056.0,8056.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,24h,per_domain,ece,0.09607775682039774,0.09166339541153079,0.004414361408866946,1255.0,1255.0,3.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,24h,per_domain,ece,0.07897762171006083,0.06732872355497445,0.011648898155086379,850.0,850.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,24h,per_domain,ece,0.05532573291548746,0.049525661217858175,0.005800071697629285,5042.0,5042.0,13.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,24h,per_domain,ece,0.030783346894432188,0.028259122505836218,0.00252422438859597,19253.0,19253.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,24h,per_domain,ece,0.0611698913865234,0.062050468110091336,-0.0008805767235679357,2124.0,2124.0,6.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,24h,per_domain,ece,0.03011755447985986,0.02718690414792961,0.0029306503319302506,36580.0,36580.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,24h,pooled,ece,0.022409793692251184,0.025189667085482446,-0.002779873393231262,8507.0,8507.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,24h,pooled,ece,0.07948636573618133,0.07921721179236617,0.0002691539438151591,1809.0,1809.0,6.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,24h,pooled,ece,0.0582850821840174,0.059668302688659636,-0.0013832205046422352,1128.0,1128.0,4.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,24h,pooled,ece,0.05092099270311253,0.04576491229599999,0.0051560804071125385,5282.0,5282.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,24h,pooled,ece,0.03158392759095349,0.028399483469221186,0.0031844441217323063,19253.0,19253.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,24h,pooled,ece,0.048722524041342676,0.04828980393860398,0.00043272010273869704,2278.0,2278.0,9.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,24h,pooled,ece,0.02446646837451223,0.02400371003095071,0.0004627583435615201,38346.0,38346.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,24h,per_domain,log_loss,0.6041796224552937,0.5823686799300497,0.02181094252524396,8056.0,8056.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,24h,per_domain,log_loss,0.6461868399306971,0.623023297642623,0.023163542288074157,1255.0,1255.0,3.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,24h,per_domain,log_loss,0.544602036002296,0.5345568981773706,0.010045137824925332,850.0,850.0,2.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,24h,per_domain,log_loss,0.4631160658301,0.45542283389917615,0.007693231930923861,5042.0,5042.0,13.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,24h,per_domain,log_loss,0.5023922879908612,0.5025966412453713,-0.00020435325451007014,19253.0,19253.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,24h,per_domain,log_loss,0.5515230572244962,0.505051318376101,0.04647173884839528,2124.0,2124.0,6.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,24h,per_domain,log_loss,0.5281621692554147,0.5186794354881453,0.00948273376726938,36580.0,36580.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Sports,24h,pooled,log_loss,0.5628281400943491,0.5672316626548161,-0.004403522560466944,8523.0,8523.0,7.0
bins20,"HistogramBinning(20), primary filters",binning20,Crypto,24h,pooled,log_loss,0.5658799481054108,0.5792410082659237,-0.013361060160512972,1810.0,1810.0,7.0
bins20,"HistogramBinning(20), primary filters",binning20,Politics,24h,pooled,log_loss,0.5086348300449356,0.5186605036613231,-0.01002567361638751,1181.0,1181.0,12.0
bins20,"HistogramBinning(20), primary filters",binning20,Finance,24h,pooled,log_loss,0.45577121597665843,0.45710402952004786,-0.0013328135433894328,5282.0,5282.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Weather,24h,pooled,log_loss,0.501283138302887,0.503432886139897,-0.002149747837010052,19253.0,19253.0,14.0
bins20,"HistogramBinning(20), primary filters",binning20,Entertainment,24h,pooled,log_loss,0.4594829799402526,0.4682783970589175,-0.008795417118664883,2297.0,2297.0,12.0
bins20,"HistogramBinning(20), primary filters",binning20,ALL,24h,pooled,log_loss,0.509465000465106,0.5131730052525167,-0.0037080047874107347,38346.0,38346.0,14.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,1w,per_domain,brier,0.16719939671133455,0.16784867923381336,-0.0006492825224788112,1501.0,1501.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,1w,per_domain,brier,0.167896236683193,0.16777555856168286,0.00012067812151014823,414.0,414.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,1w,per_domain,brier,0.13208496267262143,0.13014291369745568,0.0019420489751657555,660.0,660.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,1w,per_domain,brier,0.15658828908330155,0.159922142227559,-0.003333853144257437,135.0,135.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,1w,per_domain,brier,0.1555945007971159,0.15270525125620746,0.0028892495409084396,1134.0,1134.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,1w,per_domain,brier,0.15744927022493765,0.15662110196151688,0.0008281682634207754,3844.0,3844.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,1w,pooled,brier,0.16527456567352541,0.15960710249927113,0.005667463174254289,1697.0,1697.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,1w,pooled,brier,0.18800635316543945,0.17208522950804964,0.01592112365738982,89.0,89.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,1w,pooled,brier,0.1793297357941386,0.18035574622583916,-0.001026010431700558,699.0,699.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,1w,pooled,brier,0.13117748763472817,0.1300226399574315,0.0011548476772966776,660.0,660.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,1w,pooled,brier,0.1547655339802261,0.15751158709308866,-0.002746053112862551,135.0,135.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,1w,pooled,brier,0.15527936859079572,0.15106396014593174,0.004215408444863983,1134.0,1134.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,1w,pooled,brier,0.15997106515813617,0.1564619488931354,0.003509116265000778,4414.0,4414.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,1w,per_domain,ece,0.025426236107658744,0.02776293861383324,-0.002336702506174494,1501.0,1501.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,1w,per_domain,ece,0.04706980209367697,0.07069835109176426,-0.023628548998087286,414.0,414.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,1w,per_domain,ece,0.06236685661101553,0.07397828643551725,-0.011611429824501723,660.0,660.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,1w,per_domain,ece,0.14103102360728118,0.12933708267041596,0.01169394093686521,135.0,135.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,1w,per_domain,ece,0.060301475137892975,0.07575882058409109,-0.01545734544619811,1134.0,1134.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,1w,per_domain,ece,0.0356069985995997,0.03810972168007484,-0.0025027230804751457,3844.0,3844.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,1w,pooled,ece,0.043507227019095124,0.052338846624632014,-0.00883161960553689,1697.0,1697.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Crypto,1w,pooled,ece,0.24350868425946123,0.24585450451254398,-0.0023458202530827477,63.0,63.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,1w,pooled,ece,0.07631393292090974,0.0991795209596372,-0.022865588038727458,699.0,699.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,1w,pooled,ece,0.05850877381133095,0.07273894939713701,-0.014230175585806068,660.0,660.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,1w,pooled,ece,0.11151763908445265,0.12606694664475146,-0.014549307560298805,135.0,135.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,1w,pooled,ece,0.05443648077931058,0.05968811770010932,-0.00525163692079874,1134.0,1134.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,1w,pooled,ece,0.02822369163161437,0.036133466936540154,-0.007909775304925783,4414.0,4414.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Sports,1w,per_domain,log_loss,0.5128660072041852,0.5159929323641413,-0.003126925159956162,1501.0,1501.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Politics,1w,per_domain,log_loss,0.5085841586943476,0.5085392441553426,4.49145390050143e-05,414.0,414.0,2.0
bins5,"HistogramBinning(5), primary filters",binning5,Finance,1w,per_domain,log_loss,0.4174749156806334,0.4054887805652072,0.011986135115426177,660.0,660.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Weather,1w,per_domain,log_loss,0.4835514113212057,0.5551517747686544,-0.07160036344744869,135.0,135.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,Entertainment,1w,per_domain,log_loss,0.47676920569216363,0.4889459181104882,-0.012176712418324576,1134.0,1134.0,4.0
bins5,"HistogramBinning(5), primary filters",binning5,ALL,1w,per_domain,log_loss,0.48434830453835487,0.4896132659893306,-0.005264961450975714,3844.0,3844.0,4.0
