tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1w,Entertainment,per_domain,platt,brier,0.14910752619243117,0.1491677248677248,-6.019867529363787e-05,1134.0,4.0
1w,Entertainment,per_domain,isotonic,brier,0.15155130960590868,0.1491677248677248,0.0023835847381838693,1134.0,4.0
1w,Entertainment,per_domain,binning10,brier,0.15270525125620746,0.1491677248677248,0.003537526388482648,1134.0,4.0
1w,Entertainment,per_domain,venn_abers,brier,0.1505033318531912,0.1491677248677248,0.0013356069854663921,1134.0,4.0
1w,Entertainment,per_domain,raw,ece,0.061816578483245135,0.061816578483245135,0.0,1134.0,4.0
1w,Entertainment,per_domain,platt,ece,0.06410516437544019,0.061816578483245135,0.0022885858921950497,1134.0,4.0
1w,Entertainment,per_domain,isotonic,ece,0.05833696136870062,0.061816578483245135,-0.003479617114544517,1134.0,4.0
1w,Entertainment,per_domain,binning10,ece,0.07575882058409109,0.061816578483245135,0.01394224210084595,1134.0,4.0
1w,Entertainment,per_domain,venn_abers,ece,0.0642785277860046,0.061816578483245135,0.0024619493027594613,1134.0,4.0
1w,Entertainment,per_domain,raw,log_loss,0.4582671861836964,0.4582671861836964,0.0,1134.0,4.0
1w,Entertainment,per_domain,platt,log_loss,0.4604356801254106,0.4582671861836964,0.0021684939417142,1134.0,4.0
1w,Entertainment,per_domain,isotonic,log_loss,0.5086584802689227,0.4582671861836964,0.0503912940852263,1134.0,4.0
1w,Entertainment,per_domain,binning10,log_loss,0.4889459181104882,0.4582671861836964,0.030678731926791825,1134.0,4.0
1w,Entertainment,per_domain,venn_abers,log_loss,0.4633685379139364,0.4582671861836964,0.005101351730240011,1134.0,4.0
1w,Finance,per_domain,raw,brier,0.12984621212121208,0.12984621212121208,0.0,660.0,4.0
1w,Finance,per_domain,platt,brier,0.13044317973410594,0.12984621212121208,0.0005969676128938506,660.0,4.0
1w,Finance,per_domain,isotonic,brier,0.1296155240515518,0.12984621212121208,-0.0002306880696602842,660.0,4.0
1w,Finance,per_domain,binning10,brier,0.13014291369745568,0.12984621212121208,0.00029670157624359095,660.0,4.0
1w,Finance,per_domain,venn_abers,brier,0.12974604715428498,0.12984621212121208,-0.00010016496692710763,660.0,4.0
1w,Finance,per_domain,raw,ece,0.07928787878787874,0.07928787878787874,0.0,660.0,4.0
1w,Finance,per_domain,platt,ece,0.08050705457476978,0.07928787878787874,0.0012191757868910413,660.0,4.0
1w,Finance,per_domain,isotonic,ece,0.07501216306883465,0.07928787878787874,-0.0042757157190440875,660.0,4.0
1w,Finance,per_domain,binning10,ece,0.07397828643551725,0.07928787878787874,-0.005309592352361489,660.0,4.0
1w,Finance,per_domain,venn_abers,ece,0.0769644279388508,0.07928787878787874,-0.002323450849027936,660.0,4.0
1w,Finance,per_domain,raw,log_loss,0.40703782347814055,0.40703782347814055,0.0,660.0,4.0
1w,Finance,per_domain,platt,log_loss,0.40627693699388817,0.40703782347814055,-0.0007608864842523766,660.0,4.0
1w,Finance,per_domain,isotonic,log_loss,0.43586466899024634,0.40703782347814055,0.028826845512105792,660.0,4.0
1w,Finance,per_domain,binning10,log_loss,0.4054887805652072,0.40703782347814055,-0.0015490429129333405,660.0,4.0
1w,Finance,per_domain,venn_abers,log_loss,0.40810848112860143,0.40703782347814055,0.0010706576504608822,660.0,4.0
1w,Politics,per_domain,raw,brier,0.16762705314009657,0.16762705314009657,0.0,414.0,2.0
1w,Politics,per_domain,platt,brier,0.16857276829237905,0.16762705314009657,0.000945715152282478,414.0,2.0
1w,Politics,per_domain,isotonic,brier,0.1668100951182396,0.16762705314009657,-0.0008169580218569672,414.0,2.0
1w,Politics,per_domain,binning10,brier,0.16777555856168286,0.16762705314009657,0.00014850542158628688,414.0,2.0
1w,Politics,per_domain,venn_abers,brier,0.16689118551162999,0.16762705314009657,-0.0007358676284665855,414.0,2.0
1w,Politics,per_domain,raw,ece,0.0826570048309178,0.0826570048309178,0.0,414.0,2.0
1w,Politics,per_domain,platt,ece,0.09986268581086084,0.0826570048309178,0.017205680979943044,414.0,2.0
1w,Politics,per_domain,isotonic,ece,0.08682770031185001,0.0826570048309178,0.004170695480932213,414.0,2.0
1w,Politics,per_domain,binning10,ece,0.07069835109176426,0.0826570048309178,-0.011958653739153544,414.0,2.0
1w,Politics,per_domain,venn_abers,ece,0.09372962860670729,0.0826570048309178,0.011072623775789492,414.0,2.0
1w,Politics,per_domain,raw,log_loss,0.5003272814683138,0.5003272814683138,0.0,414.0,2.0
