tau,domain,n_test,n_quarters,cov_marginal_a0.1,cov_mondrian_a0.1,gap_cov_a0.1,abs_dev_marginal_a0.1,abs_dev_mondrian_a0.1,size_marginal_a0.1,size_mondrian_a0.1,cov_marginal_a0.05,cov_marginal_a0.2,cov_mondrian_a0.05,cov_mondrian_a0.2,size_marginal_a0.05,size_marginal_a0.2,size_mondrian_a0.05,size_mondrian_a0.2
1mo,Sports,355.0,2.0,0.935211267605634,0.9211267605633803,-0.014084507042253724,0.03521126760563398,0.021126760563380254,1.343661971830986,1.315492957746479,0.9436619718309861,0.8084507042253521,0.9859154929577465,0.6676056338028169,1.532394366197183,1.0619718309859154,1.7521126760563381,0.7943661971830986
1mo,Crypto,21.0,2.0,0.9047619047619048,1.0,0.09523809523809523,0.004761904761904745,0.09999999999999998,1.380952380952381,1.7619047619047619,1.0,0.8095238095238095,1.0,0.9523809523809523,1.619047619047619,1.0952380952380953,1.7619047619047619,1.4285714285714286
1mo,Politics,227.0,2.0,0.8854625550660793,0.8942731277533039,0.008810572687224627,0.014537444933920729,0.005726872246696102,1.2114537444933922,1.251101321585903,0.9559471365638768,0.8193832599118943,0.960352422907489,0.8193832599118943,1.4185022026431717,1.026431718061674,1.4801762114537442,1.0308370044052864
1mo,Finance,341.0,2.0,0.9384164222873901,0.9354838709677419,-0.0029325513196482023,0.03841642228739006,0.03548387096774186,1.2609970674486803,1.252199413489736,0.9736070381231672,0.873900293255132,0.967741935483871,0.8621700879765396,1.4252199413489737,1.0234604105571847,1.404692082111437,0.9882697947214076
1mo,Weather,85.0,2.0,0.9058823529411765,0.9058823529411765,0.0,0.00588235294117645,0.00588235294117645,1.423529411764706,1.3882352941176468,0.9294117647058824,0.7764705882352941,0.9294117647058824,0.8,1.588235294117647,1.0470588235294118,1.5529411764705883,1.1294117647058821
1mo,Entertainment,268.0,2.0,0.8917910447761195,0.8917910447761195,0.0,0.008208955223880543,0.008208955223880543,1.291044776119403,1.2985074626865671,0.9291044776119403,0.7947761194029851,0.9253731343283582,0.8171641791044776,1.4664179104477613,1.041044776119403,1.455223880597015,1.0634328358208955
1mo,ALL,1297.0,2.0,0.9159599074787972,0.9144178874325366,-0.0015420200462605838,0.015959907478797164,0.01441788743253658,1.2937548188126446,1.2960678488820352,0.9506553585196608,0.8226676946800309,0.9606784888203547,0.7895142636854279,1.4757131842713955,1.040863531225906,1.5389360061680801,0.9745566692367
1w,Sports,1697.0,4.0,0.9263406010606954,0.9057159693576902,-0.020624631703005214,0.026340601060695357,0.005715969357690143,1.4195639363582793,1.3317619328226282,0.9681791396582203,0.797878609310548,0.948733058338244,0.7265763111373011,1.6081319976428992,1.071302298173247,1.529758397171479,0.9286977018267529
1w,Crypto,89.0,4.0,0.9438202247191011,0.9438202247191011,0.0,0.043820224719101075,0.043820224719101075,1.4382022471910112,1.5168539325842696,0.9550561797752809,0.8089887640449438,0.9662921348314607,0.8314606741573034,1.6067415730337078,1.1123595505617978,1.752808988764045,1.146067415730337
1w,Politics,699.0,4.0,0.8512160228898427,0.9012875536480687,0.05007153075822601,0.04878397711015736,0.0012875536480686511,1.2689556509298998,1.3819742489270386,0.9384835479256081,0.7510729613733905,0.9556509298998569,0.7868383404864091,1.496423462088698,1.0286123032904149,1.648068669527897,1.1201716738197425
